"date","case_isolation","case_screen","case_asym","asym_isolation","asym_screen","case","asym","pos","pos_real","cum_case_isolation","cum_case_screen","cum_case_asym","cum_case","cum_asym_isolation","cum_asym_screen","cum_asym","cum_pos","cum_pos_real","all.new","prop.new.case","prop.new.asym","all.cum","prop.cum.case","prop.cum.asym","prop.case_screen","prop.case_asym","prop.case_isolation","prop.asym_screen","prop.asym_isolation","prop.cum_case_screen","prop.cum_case_asym","prop.cum_case_isolation","prop.cum_asym_screen","prop.cum_asym_isolation"
"2022-03-09",3,1,0,65,11,4,76,80,80,3,1,0,4,65,11,76,80,80,80,5,95,80,5,95,25,0,75,14.5,85.5,25,0,75,14.5,85.5
"2022-03-10",5,6,0,61,3,11,64,75,75,8,7,0,15,126,14,140,155,155,75,14.7,85.3,155,9.7,90.3,54.5,0,45.5,4.7,95.3,46.7,0,53.3,10,90
"2022-03-11",4,1,0,58,20,5,78,83,83,12,8,0,20,184,34,218,238,238,83,6,94,238,8.4,91.6,20,0,80,25.6,74.4,40,0,60,15.6,84.4
"2022-03-12",1,0,0,60,4,1,64,65,65,13,8,0,21,244,38,282,303,303,65,1.5,98.5,303,6.9,93.1,0,0,100,6.2,93.8,38.1,0,61.9,13.5,86.5
"2022-03-13",6,26,9,90,38,41,128,169,160,19,34,9,62,334,76,410,472,463,169,24.3,75.7,472,13.1,86.9,63.4,22,14.6,29.7,70.3,54.8,14.5,30.6,18.5,81.5
"2022-03-14",5,4,0,103,27,9,130,139,139,24,38,9,71,437,103,540,611,602,139,6.5,93.5,611,11.6,88.4,44.4,0,55.6,20.8,79.2,53.5,12.7,33.8,19.1,80.9
"2022-03-15",3,1,1,135,61,5,196,201,200,27,39,10,76,572,164,736,812,802,201,2.5,97.5,812,9.4,90.6,20,20,60,31.1,68.9,51.3,13.2,35.5,22.3,77.7
"2022-03-16",1,7,0,81,69,8,150,158,158,28,46,10,84,653,233,886,970,960,158,5.1,94.9,970,8.7,91.3,87.5,0,12.5,46,54,54.8,11.9,33.3,26.3,73.7
"2022-03-17",2,55,0,103,100,57,203,260,260,30,101,10,141,756,333,1089,1230,1220,260,21.9,78.1,1230,11.5,88.5,96.5,0,3.5,49.3,50.7,71.6,7.1,21.3,30.6,69.4
"2022-03-18",4,4,0,178,188,8,366,374,374,34,105,10,149,934,521,1455,1604,1594,374,2.1,97.9,1604,9.3,90.7,50,0,50,51.4,48.6,70.5,6.7,22.8,35.8,64.2
"2022-03-19",9,2,6,233,259,17,492,509,503,43,107,16,166,1167,780,1947,2113,2097,509,3.3,96.7,2113,7.9,92.1,11.8,35.3,52.9,52.6,47.4,64.5,9.6,25.9,40.1,59.9
"2022-03-20",22,2,0,652,82,24,734,758,758,65,109,16,190,1819,862,2681,2871,2855,758,3.2,96.8,2871,6.6,93.4,8.3,0,91.7,11.2,88.8,57.4,8.4,34.2,32.2,67.8
"2022-03-21",30,1,0,749,116,31,865,896,896,95,110,16,221,2568,978,3546,3767,3751,896,3.5,96.5,3767,5.9,94.1,3.2,0,96.8,13.4,86.6,49.8,7.2,43,27.6,72.4
"2022-03-22",3,1,0,886,91,4,977,981,981,98,111,16,225,3454,1069,4523,4748,4732,981,0.4,99.6,4748,4.7,95.3,25,0,75,9.3,90.7,49.3,7.1,43.6,23.6,76.4
"2022-03-23",4,0,0,878,101,4,979,983,983,102,111,16,229,4332,1170,5502,5731,5715,983,0.4,99.6,5731,4,96,0,0,100,10.3,89.7,48.5,7,44.5,21.3,78.7
"2022-03-24",12,17,0,1455,125,29,1580,1609,1609,114,128,16,258,5787,1295,7082,7340,7324,1609,1.8,98.2,7340,3.5,96.5,58.6,0,41.4,7.9,92.1,49.6,6.2,44.2,18.3,81.7
"2022-03-25",3,35,0,1773,458,38,2231,2269,2269,117,163,16,296,7560,1753,9313,9609,9593,2269,1.7,98.3,9609,3.1,96.9,92.1,0,7.9,20.5,79.5,55.1,5.4,39.5,18.8,81.2
"2022-03-26",27,18,0,2363,268,45,2631,2676,2676,144,181,16,341,9923,2021,11944,12285,12269,2676,1.7,98.3,12285,2.8,97.2,40,0,60,10.2,89.8,53.1,4.7,42.2,16.9,83.1
"2022-03-27",17,33,0,2833,617,50,3450,3500,3500,161,214,16,391,12756,2638,15394,15785,15769,3500,1.4,98.6,15785,2.5,97.5,66,0,34,17.9,82.1,54.7,4.1,41.2,17.1,82.9
"2022-03-28",7,68,21,3824,557,96,4381,4477,4456,168,282,37,487,16580,3195,19775,20262,20225,4477,2.1,97.9,20262,2.4,97.6,70.8,21.9,7.3,12.7,87.3,57.9,7.6,34.5,16.2,83.8
"2022-03-29",17,291,18,5131,525,326,5656,5982,5964,185,573,55,813,21711,3720,25431,26244,26189,5982,5.4,94.6,26244,3.1,96.9,89.3,5.5,5.2,9.3,90.7,70.5,6.8,22.8,14.6,85.4
"2022-03-30",10,329,16,4477,821,355,5298,5653,5637,195,902,71,1168,26188,4541,30729,31897,31826,5653,6.3,93.7,31897,3.7,96.3,92.7,4.5,2.8,15.5,84.5,77.2,6.1,16.7,14.8,85.2
"2022-03-31",8,330,20,3710,434,358,4144,4502,4482,203,1232,91,1526,29898,4975,34873,36399,36308,4502,8,92,36399,4.2,95.8,92.2,5.6,2.2,10.5,89.5,80.7,6,13.3,14.3,85.7
"2022-04-01",8,250,2,5402,649,260,6051,6311,6309,211,1482,93,1786,35300,5624,40924,42710,42617,6311,4.1,95.9,42710,4.2,95.8,96.2,0.8,3.1,10.7,89.3,83,5.2,11.8,13.7,86.3
"2022-04-02",16,349,73,6773,1015,438,7788,8226,8153,227,1831,166,2224,42073,6639,48712,50936,50770,8226,5.3,94.7,50936,4.4,95.6,79.7,16.7,3.7,13,87,82.3,7.5,10.2,13.6,86.4
"2022-04-03",7,347,71,7920,661,425,8581,9006,8935,234,2178,237,2649,49993,7300,57293,59942,59705,9006,4.7,95.3,59942,4.4,95.6,81.6,16.7,1.6,7.7,92.3,82.2,8.9,8.8,12.7,87.3
"2022-04-04",14,250,4,12592,494,268,13086,13354,13350,248,2428,241,2917,62585,7794,70379,73296,73055,13354,2,98,73296,4,96,93.3,1.5,5.2,3.8,96.2,83.2,8.3,8.5,11.1,88.9
"2022-04-05",4,267,40,16256,510,311,16766,17077,17037,252,2695,281,3228,78841,8304,87145,90373,90092,17077,1.8,98.2,90373,3.6,96.4,85.9,12.9,1.3,3,97,83.5,8.7,7.8,9.5,90.5
"2022-04-06",12,295,15,19027,633,322,19660,19982,19967,264,2990,296,3550,97868,8937,106805,110355,110059,19982,1.6,98.4,110355,3.2,96.8,91.6,4.7,3.7,3.2,96.8,84.2,8.3,7.4,8.4,91.6
"2022-04-07",121,380,323,19798,600,824,20398,21222,20899,385,3370,619,4374,117666,9537,127203,131577,130958,21222,3.9,96.1,131577,3.3,96.7,46.1,39.2,14.7,2.9,97.1,77,14.2,8.8,7.5,92.5
"2022-04-08",301,294,420,21853,756,1015,22609,23624,23204,686,3664,1039,5389,139519,10293,149812,155201,154162,23624,4.3,95.7,155201,3.5,96.5,29,41.4,29.7,3.3,96.7,68,19.3,12.7,6.9,93.1
"2022-04-09",228,587,191,23412,525,1006,23937,24943,24752,914,4251,1230,6395,162931,10818,173749,180144,178914,24943,4,96,180144,3.5,96.5,58.3,19,22.7,2.2,97.8,66.5,19.2,14.3,6.2,93.8
"2022-04-10",564,303,47,24230,943,914,25173,26087,26040,1478,4554,1277,7309,187161,11761,198922,206231,204954,26087,3.5,96.5,206231,3.5,96.5,33.2,5.1,61.7,3.7,96.3,62.3,17.5,20.2,5.9,94.1
"2022-04-11",439,282,273,21844,504,994,22348,23342,23069,1917,4836,1550,8303,209005,12265,221270,229573,228023,23342,4.3,95.7,229573,3.6,96.4,28.4,27.5,44.2,2.3,97.7,58.2,18.7,23.1,5.5,94.5
"2022-04-12",867,299,23,24500,641,1189,25141,26330,26307,2784,5135,1573,9492,233505,12906,246411,255903,254330,26330,4.5,95.5,255903,3.7,96.3,25.1,1.9,72.9,2.5,97.5,54.1,16.6,29.3,5.2,94.8
"2022-04-13",2200,259,114,24548,598,2573,25146,27719,27605,4984,5394,1687,12065,258053,13504,271557,283622,281935,27719,9.3,90.7,283622,4.3,95.7,10.1,4.4,85.5,2.4,97.6,44.7,14,41.3,5,95
"2022-04-14",2547,346,307,19494,378,3200,19872,23072,22765,7531,5740,1994,15265,277547,13882,291429,306694,304700,23072,13.9,86.1,306694,5,95,10.8,9.6,79.6,1.9,98.1,37.6,13.1,49.3,4.8,95.2
"2022-04-15",2311,357,922,19428,495,3590,19923,23513,22591,9842,6097,2916,18855,296975,14377,311352,330207,327291,23513,15.3,84.7,330207,5.7,94.3,9.9,25.7,64.4,2.5,97.5,32.3,15.5,52.2,4.6,95.4
"2022-04-16",1754,307,1177,21167,415,3238,21582,24820,23643,11596,6404,4093,22093,318142,14792,332934,355027,350934,24820,13,87,355027,6.2,93.8,9.5,36.3,54.2,1.9,98.1,29,18.5,52.5,4.4,95.6
"2022-04-17",1409,155,853,19425,406,2417,19831,22248,21395,13005,6559,4946,24510,337567,15198,352765,377275,372329,22248,10.9,89.1,377275,6.5,93.5,6.4,35.3,58.3,2,98,26.8,20.2,53.1,4.3,95.7
"2022-04-18",1894,216,974,16998,334,3084,17332,20416,19442,14899,6775,5920,27594,354565,15532,370097,397691,391771,20416,15.1,84.9,397691,6.9,93.1,7,31.6,61.4,1.9,98.1,24.6,21.5,54,4.2,95.8
"2022-04-19",1800,161,533,16178,229,2494,16407,18901,18368,16699,6936,6453,30088,370743,15761,386504,416592,410139,18901,13.2,86.8,416592,7.2,92.8,6.5,21.4,72.2,1.4,98.6,23.1,21.4,55.5,4.1,95.9
"2022-04-20",1976,199,459,15619,242,2634,15861,18495,18036,18675,7135,6912,32722,386362,16003,402365,435087,428175,18495,14.2,85.8,435087,7.5,92.5,7.6,17.4,75,1.5,98.5,21.8,21.1,57.1,4,96
"2022-04-21",1685,103,143,15551,147,1931,15698,17629,17486,20360,7238,7055,34653,401913,16150,418063,452716,445661,17629,11,89,452716,7.7,92.3,5.3,7.4,87.3,0.9,99.1,20.9,20.4,58.8,3.9,96.1
"2022-04-22",1542,74,1120,20490,144,2736,20634,23370,22250,21902,7312,8175,37389,422403,16294,438697,476086,467911,23370,11.7,88.3,476086,7.9,92.1,2.7,40.9,56.4,0.7,99.3,19.6,21.9,58.6,3.7,96.3
"2022-04-23",816,44,541,19421,236,1401,19657,21058,20517,22718,7356,8716,38790,441824,16530,458354,497144,488428,21058,6.7,93.3,497144,7.8,92.2,3.1,38.6,58.2,1.2,98.8,19,22.5,58.6,3.6,96.4
"2022-04-24",1557,69,846,16835,148,2472,16983,19455,18609,24275,7425,9562,41262,458659,16678,475337,516599,507037,19455,12.7,87.3,516599,8,92,2.8,34.2,63,0.9,99.1,18,23.2,58.8,3.5,96.5
"2022-04-25",675,18,968,15120,199,1661,15319,16980,16012,24950,7443,10530,42923,473779,16877,490656,533579,523049,16980,9.8,90.2,533579,8,92,1.1,58.3,40.6,1.3,98.7,17.3,24.5,58.1,3.4,96.6
"2022-04-26",340,13,1253,11798,158,1606,11956,13562,12309,25290,7456,11783,44529,485577,17035,502612,547141,535358,13562,11.8,88.2,547141,8.1,91.9,0.8,78,21.2,1.3,98.7,16.7,26.5,56.8,3.4,96.6
"2022-04-27",432,2,858,9140,190,1292,9330,10622,9764,25722,7458,12641,45821,494717,17225,511942,557763,545122,10622,12.2,87.8,557763,8.2,91.8,0.2,66.4,33.4,2,98,16.3,27.6,56.1,3.4,96.6
"2022-04-28",418,7,5062,9444,101,5487,9545,15032,9970,26140,7465,17703,51308,504161,17326,521487,572795,555092,15032,36.5,63.5,572795,9,91,0.1,92.3,7.6,1.1,98.9,14.5,34.5,50.9,3.3,96.7
"2022-04-29",264,0,985,8932,0,1249,8932,10181,9196,26404,7465,18688,52557,513093,17326,530419,582976,564288,10181,12.3,87.7,582976,9,91,0,78.9,21.1,0,100,14.2,35.6,50.2,3.3,96.7
"2022-04-30",105,0,683,7084,0,788,7084,7872,7189,26509,7465,19371,53345,520177,17326,537503,590848,571477,7872,10,90,590848,9,91,0,86.7,13.3,0,100,14,36.3,49.7,3.2,96.8
"2022-05-01",198,0,529,6548,58,727,6606,7333,6804,26707,7465,19900,54072,526725,17384,544109,598181,578281,7333,9.9,90.1,598181,9,91,0,72.8,27.2,0.9,99.1,13.8,36.8,49.4,3.2,96.8
"2022-05-02",117,2,155,5324,71,274,5395,5669,5514,26824,7467,20055,54346,532049,17455,549504,603850,583795,5669,4.8,95.2,603850,9,91,0.7,56.6,42.7,1.3,98.7,13.7,36.9,49.4,3.2,96.8
"2022-05-03",108,1,151,4660,62,260,4722,4982,4831,26932,7468,20206,54606,536709,17517,554226,608832,588626,4982,5.2,94.8,608832,9,91,0.4,58.1,41.5,1.3,98.7,13.7,37,49.3,3.2,96.8
"2022-05-04",75,1,185,4357,33,261,4390,4651,4466,27007,7469,20391,54867,541066,17550,558616,613483,593092,4651,5.6,94.4,613483,8.9,91.1,0.4,70.9,28.7,0.8,99.2,13.6,37.2,49.2,3.1,96.9
"2022-05-05",64,0,181,4001,23,245,4024,4269,4088,27071,7469,20572,55112,545067,17573,562640,617752,597180,4269,5.7,94.3,617752,8.9,91.1,0,73.9,26.1,0.6,99.4,13.6,37.3,49.1,3.1,96.9
"2022-05-06",78,0,175,3943,18,253,3961,4214,4039,27149,7469,20747,55365,549010,17591,566601,621966,601219,4214,6,94,621966,8.9,91.1,0,69.2,30.8,0.5,99.5,13.5,37.5,49,3.1,96.9
"2022-05-07",80,0,135,3749,11,215,3760,3975,3840,27229,7469,20882,55580,552759,17602,570361,625941,605059,3975,5.4,94.6,625941,8.9,91.1,0,62.8,37.2,0.3,99.7,13.4,37.6,49,3.1,96.9
"2022-05-08",92,0,230,3616,9,322,3625,3947,3717,27321,7469,21112,55902,556375,17611,573986,629888,608776,3947,8.2,91.8,629888,8.9,91.1,0,71.4,28.6,0.2,99.8,13.4,37.8,48.9,3.1,96.9
"2022-05-09",78,0,156,2775,5,234,2780,3014,2858,27399,7469,21268,56136,559150,17616,576766,632902,611634,3014,7.8,92.2,632902,8.9,91.1,0,66.7,33.3,0.2,99.8,13.3,37.9,48.8,3.1,96.9
"2022-05-10",30,0,198,1259,0,228,1259,1487,1289,27429,7469,21466,56364,560409,17616,578025,634389,612923,1487,15.3,84.7,634389,8.9,91.1,0,86.8,13.2,0,100,13.3,38.1,48.7,3,97
"2022-05-11",38,0,106,1303,2,144,1305,1449,1343,27467,7469,21572,56508,561712,17618,579330,635838,614266,1449,9.9,90.1,635838,8.9,91.1,0,73.6,26.4,0.2,99.8,13.2,38.2,48.6,3,97
"2022-05-12",60,0,167,1865,4,227,1869,2096,1929,27527,7469,21739,56735,563577,17622,581199,637934,616195,2096,10.8,89.2,637934,8.9,91.1,0,73.6,26.4,0.2,99.8,13.2,38.3,48.5,3,97
"2022-05-13",54,0,140,1486,1,194,1487,1681,1541,27581,7469,21879,56929,565063,17623,582686,639615,617736,1681,11.5,88.5,639615,8.9,91.1,0,72.2,27.8,0.1,99.9,13.1,38.4,48.4,3,97
"2022-05-14",55,0,111,1203,0,166,1203,1369,1258,27636,7469,21990,57095,566266,17623,583889,640984,618994,1369,12.1,87.9,640984,8.9,91.1,0,66.9,33.1,0,100,13.1,38.5,48.4,3,97
"2022-05-15",27,0,42,869,0,69,869,938,896,27663,7469,22032,57164,567135,17623,584758,641922,619890,938,7.4,92.6,641922,8.9,91.1,0,60.9,39.1,0,100,13.1,38.5,48.4,3,97
"2022-05-16",31,0,46,746,0,77,746,823,777,27694,7469,22078,57241,567881,17623,585504,642745,620667,823,9.4,90.6,642745,8.9,91.1,0,59.7,40.3,0,100,13,38.6,48.4,3,97
"2022-05-17",40,0,56,759,0,96,759,855,799,27734,7469,22134,57337,568640,17623,586263,643600,621466,855,11.2,88.8,643600,8.9,91.1,0,58.3,41.7,0,100,13,38.6,48.4,3,97
"2022-05-18",34,0,48,637,0,82,637,719,671,27768,7469,22182,57419,569277,17623,586900,644319,622137,719,11.4,88.6,644319,8.9,91.1,0,58.5,41.5,0,100,13,38.6,48.4,3,97
"2022-05-19",17,0,71,767,3,88,770,858,787,27785,7469,22253,57507,570044,17626,587670,645177,622924,858,10.3,89.7,645177,8.9,91.1,0,80.7,19.3,0.4,99.6,13,38.7,48.3,3,97
"2022-05-20",35,0,49,784,0,84,784,868,819,27820,7469,22302,57591,570828,17626,588454,646045,623743,868,9.7,90.3,646045,8.9,91.1,0,58.3,41.7,0,100,13,38.7,48.3,3,97
"2022-05-21",23,0,29,570,0,52,570,622,593,27843,7469,22331,57643,571398,17626,589024,646667,624336,622,8.4,91.6,646667,8.9,91.1,0,55.8,44.2,0,100,13,38.7,48.3,3,97
"2022-05-22",25,0,30,503,0,55,503,558,528,27868,7469,22361,57698,571901,17626,589527,647225,624864,558,9.9,90.1,647225,8.9,91.1,0,54.5,45.5,0,100,12.9,38.8,48.3,3,97
"2022-05-23",19,0,39,422,0,58,422,480,441,27887,7469,22400,57756,572323,17626,589949,647705,625305,480,12.1,87.9,647705,8.9,91.1,0,67.2,32.8,0,100,12.9,38.8,48.3,3,97
"2022-05-24",12,0,32,342,1,44,343,387,355,27899,7469,22432,57800,572665,17627,590292,648092,625660,387,11.4,88.6,648092,8.9,91.1,0,72.7,27.3,0.3,99.7,12.9,38.8,48.3,3,97
"2022-05-25",17,0,31,290,0,48,290,338,307,27916,7469,22463,57848,572955,17627,590582,648430,625967,338,14.2,85.8,648430,8.9,91.1,0,64.6,35.4,0,100,12.9,38.8,48.3,3,97
"2022-05-26",12,0,33,219,0,45,219,264,231,27928,7469,22496,57893,573174,17627,590801,648694,626198,264,17,83,648694,8.9,91.1,0,73.3,26.7,0,100,12.9,38.9,48.2,3,97
"2022-05-27",20,1,18,131,0,39,131,170,152,27948,7470,22514,57932,573305,17627,590932,648864,626350,170,22.9,77.1,648864,8.9,91.1,2.6,46.2,51.3,0,100,12.9,38.9,48.2,3,97
"2022-05-28",10,1,18,93,0,29,93,122,104,27958,7471,22532,57961,573398,17627,591025,648986,626454,122,23.8,76.2,648986,8.9,91.1,3.4,62.1,34.5,0,100,12.9,38.9,48.2,3,97
"2022-05-29",3,1,2,61,0,6,61,67,65,27961,7472,22534,57967,573459,17627,591086,649053,626519,67,9,91,649053,8.9,91.1,16.7,33.3,50,0,100,12.9,38.9,48.2,3,97
"2022-05-30",7,0,2,22,0,9,22,31,29,27968,7472,22536,57976,573481,17627,591108,649084,626548,31,29,71,649084,8.9,91.1,0,22.2,77.8,0,100,12.9,38.9,48.2,3,97
"2022-05-31",4,0,1,10,0,5,10,15,14,27972,7472,22537,57981,573491,17627,591118,649099,626562,15,33.3,66.7,649099,8.9,91.1,0,20,80,0,100,12.9,38.9,48.2,3,97
"2022-06-01",2,0,3,8,0,5,8,13,10,27974,7472,22540,57986,573499,17627,591126,649112,626572,13,38.5,61.5,649112,8.9,91.1,0,60,40,0,100,12.9,38.9,48.2,3,97
"2022-06-02",3,3,2,4,4,8,8,16,14,27977,7475,22542,57994,573503,17631,591134,649128,626586,16,50,50,649128,8.9,91.1,37.5,25,37.5,50,50,12.9,38.9,48.2,3,97
"2022-06-03",1,2,2,8,1,5,9,14,12,27978,7477,22544,57999,573511,17632,591143,649142,626598,14,35.7,64.3,649142,8.9,91.1,40,40,20,11.1,88.9,12.9,38.9,48.2,3,97
"2022-06-04",5,0,1,16,0,6,16,22,21,27983,7477,22545,58005,573527,17632,591159,649164,626619,22,27.3,72.7,649164,8.9,91.1,0,16.7,83.3,0,100,12.9,38.9,48.2,3,97
"2022-06-05",2,2,0,3,1,4,4,8,8,27985,7479,22545,58009,573530,17633,591163,649172,626627,8,50,50,649172,8.9,91.1,50,0,50,25,75,12.9,38.9,48.2,3,97
"2022-06-06",0,3,0,7,0,3,7,10,10,27985,7482,22545,58012,573537,17633,591170,649182,626637,10,30,70,649182,8.9,91.1,100,0,0,0,100,12.9,38.9,48.2,3,97
"2022-06-07",2,2,0,9,2,4,11,15,15,27987,7484,22545,58016,573546,17635,591181,649197,626652,15,26.7,73.3,649197,8.9,91.1,50,0,50,18.2,81.8,12.9,38.9,48.2,3,97
"2022-06-08",4,0,0,5,0,4,5,9,9,27991,7484,22545,58020,573551,17635,591186,649206,626661,9,44.4,55.6,649206,8.9,91.1,0,0,100,0,100,12.9,38.9,48.2,3,97
"2022-06-09",1,5,0,4,1,6,5,11,11,27992,7489,22545,58026,573555,17636,591191,649217,626672,11,54.5,45.5,649217,8.9,91.1,83.3,0,16.7,20,80,12.9,38.9,48.2,3,97
